Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
7201,1c21,"CourthouseRdES 2","T","Courthouse Road Elementary School Ch 2","Schools","Schools"
7202,1c22,"CourthouseRdES 3","T","Courthouse Road Elementary School Ch 3","Schools","Schools"
7210,1c2a,"Courtland ES 1","T","Courtland Elementary School Ch 1","Schools","Schools"
7211,1c2b,"Courtland ES 2","T","Courtland Elementary School Ch 2","Schools","Schools"
7212,1c2c,"Courtland ES 3","T","Courtland Elementary School Ch 3","Schools","Schools"
7240,1c48,"Freedom MS 7240","T","Freedom Middle School","Schools","Schools"
7241,1c49,"Freedom MS 7241","T","Freedom Middle School","Schools","Schools"
7242,1c4a,"Freedom MS 3","T","Freedom Middle School Ch 3","Schools","Schools"
7243,1c4b,"Freedom MS 4","T","Freedom Middle School Ch 4","Schools","Schools"
7250,1c52,"Harr Rd ES 7250","T","Harrison Road Elementary School","Schools","Schools"
7251,1c53,"Harr Rd ES 7251","T","Harrison Road Elementary School","Schools","Schools"
7252,1c54,"Harr Rd ES 3","T","Harrison Road Elementary School Ch 3","Schools","Schools"
7260,1c5c,"JJWright ECC 1","T","John J Wright Educational and Cultural CenterCourthouse Academy Ch 1","Schools","Schools"
7261,1c5d,"JJWright ECC 2","T","John J Wright Educational and Cultural CenterCourthouse Academy Ch 2","Schools","Schools"
7280,1c70,"LivingstonES7280","T","Livingston Elementary School","Schools","Schools"
7281,1c71,"LivingstonES7281","T","Livingston Elementary School","Schools","Schools"
7282,1c72,"Livingston ES 3","T","Livingston Elementary School Ch 3","Schools","Schools"
7330,1ca2,"Riverbend HS 1","T","Riverbend High School Ch 1","Schools","Schools"
7331,1ca3,"Riverbend HS 2","T","Riverbend High School Ch 2","Schools","Schools"
7340,1cac,"RiverviewES 7340","T","Riverview Elementary School","Schools","Schools"
7341,1cad,"RiverviewES 7341","T","Riverview Elementary School","Schools","Schools"
7350,1cb6,"Salem ES","T","Salem Elementary School","Schools","Schools"
7351,1cb7,"Salem ES 2","T","Salem Elementary School Ch 2","Schools","Schools"
7370,1cca,"SpotswoodES 7370","T","Spotswood Elementary School","Schools","Schools"
7371,1ccb,"SpotswoodES 7371","T","Spotswood Elementary School","Schools","Schools"
7420,1cfc,"ThornburgMS 7420","T","Thornburg Middle School","Schools","Schools"
7421,1cfd,"ThornburgMS 7421","T","Thornburg Middle School","Schools","Schools"
7430,1d06,"Wilderness ES 1","T","Wilderness Elementary School Ch 1","Schools","Schools"
7431,1d07,"Wilderness ES 2","T","Wilderness Elementary School Ch 2","Schools","Schools"
7432,1d08,"Wilderness ES 3","T","Wilderness Elementary School Ch 3","Schools","Schools"
7501,1d4d,"SpotSch Admin","T","Administration","Schools","Schools"
7504,1d50,"SpotSch TrnsSch","T","Transportation to Schools","Schools","Schools"
7505,1d51,"SpotSch SpNdBus","T","Special Needs Buses","Schools","Schools"
7506,1d52,"SpotSch BusGar","T","Bus Garage","Schools","Schools"
7507,1d53,"SpotSch RegBus","T","Regular Buses","Schools","Schools"
7508,1d54,"SpotSch Maint 1","T","Maintenance 1","Schools","Schools"
7509,1d55,"SpotSch Maint 2","T","Maintenance 2","Schools","Schools"
7510,1d56,"SpotSch Tech 1","D","Technology 1","Schools","Schools"
7511,1d57,"SpotSch SpNdSch","T","Special Needs Bus Dispatcher to Schools","Schools","Schools"
7512,1d58,"SpotSch Tech 2","D","Technology 2","Schools","Schools"
7514,1d5a,"SpotSch BusEmrg","T","Buses  EmergencyEvents Bus Roadeo 2018","Schools","Schools"
